ticker,split_date,explosion_date,classification,maximum_gain_percent,first_post_split_open,first_day_high_vs_open_percent,first_day_close_vs_open_percent,first_5_sessions_high_vs_first_close_percent,day_2_to_6_high_vs_first_close_percent,cleared_20_percent_after_split,drawdown_from_pre_event_high_percent,recovery_from_trough_to_event_prev_close_percent,sessions_split_to_explosion,support_price,support_tests,support_stable_sessions,four_hour_status,four_hour_volume_ratio_5_vs_20
WLDS,2026-03-11,2026-04-20,temporary_spike,125.0,6.45,20.84,-16.74,45.14,6.15,True,-53.81,25.83,27,3.936,12,4,ok,0.8642843602213763
ELPW,2026-03-12,2026-04-08,temporary_spike,93.59,181.350006,4.42,-10.92,53.2,53.2,True,-72.35,2.56,18,83.610001,4,2,ok,1.1181410057994592
STFS,2026-03-13,2026-05-06,pump_and_fade,388.81,3.68,12.77,10.6,2.7,2.7,False,-33.96,45.65,37,3.721,28,1,ok,0.9509262818049041
CLIR,2026-03-16,2026-04-06,pump_and_fade,102.14,4.62,2.81,-5.63,8.94,-0.46,False,-34.41,49.07,14,3.512,8,6,ok,0.6373808597108953
DXST,2026-03-16,2026-06-02,pump_and_fade,392.31,5.63,41.92,17.23,21.06,-5.91,True,-81.23,6.67,54,1.736,13,11,ok,1.180610738489079
MASK,2026-03-16,2026-03-31,pump_and_fade,167.74,3.52,11.36,-8.52,21.74,1.86,True,-69.77,4.64,11,1.731,1,0,ok,1.2078643044417394
SKYQ,2026-03-16,2026-04-02,pump_and_fade,862.87,2.75,50.55,24.0,27.86,27.86,True,-57.57,36.76,13,2.1616,2,1,ok,0.7140752457302049
ZJYL,2026-03-16,2026-06-02,temporary_spike,106.61,2.15,33.02,17.21,13.49,9.92,False,-42.62,48.69,54,2.02,20,5,ok,1.1076573439390052
CIIT,2026-03-20,2026-06-10,pump_and_fade,322.73,16.68,19.54,3.12,15.93,-1.16,False,-48.35,16.5,56,11.858,13,4,ok,2.0210464594902215
AREB,2026-03-23,2026-04-27,pump_and_fade,2438.46,0.065,0.0,0.0,0.0,0.0,False,0.0,0.0,24,0.065,24,24,unavailable,
AZI,2026-03-23,2026-06-09,pump_and_fade,573.08,3.05,1.31,-12.46,15.73,1.12,False,-67.31,11.88,54,1.158,10,2,ok,1.651062334881756
EUDA,2026-03-23,2026-04-23,pump_and_fade,388.59,6.47,10.59,9.74,116.3,116.3,True,-65.75,14.83,22,6.03,2,3,ok,0.4460245241058495
FCHL,2026-03-23,2026-04-20,temporary_spike,249.16,69.599998,18.1,6.47,76.11,76.11,True,-92.05,3.47,19,42.0,2,2,ok,1.7675684076440523
JDZG,2026-03-23,2026-05-12,pump_and_fade,228.93,21.200001,11.32,-2.83,14.56,-7.28,False,-54.62,87.68,35,11.608,11,5,ok,1.5338006815855285
YYGH,2026-03-23,2026-05-06,temporary_spike,88.35,41.099998,0.0,-9.49,10.48,-2.42,False,-58.68,43.78,31,28.65,9,1,ok,1.857525866159019
VIVK,2026-03-24,2026-03-31,pump_and_fade,113.87,25.0,60.0,17.17,63.87,113.87,True,-55.83,109.43,5,,0,0,ok,1.1374760234182197
ONCO,2026-03-25,2026-04-09,temporary_spike,149.56,30.549999,18.3,-0.82,122.11,122.11,True,-83.66,2.73,10,12.1,3,0,ok,0.40335963608356695
XTLB,2026-03-25,2026-04-29,pump_and_fade,111.74,2.52,17.46,7.54,9.23,6.27,False,-22.3,0.0,24,2.346,21,11,ok,1.5471991010487762
RENX,2026-03-26,2026-04-07,sustained_breakout,98.11,1.95,4.15,-6.67,91.21,91.21,True,-59.2,69.72,7,,0,0,ok,0.4978793045853454
CDT,2026-03-27,2026-05-29,temporary_spike,226.92,85.5,28.65,-8.19,40.13,21.27,True,-92.79,19.8,43,16.518,1,1,ok,1.268587771685555
LBGJ,2026-03-27,2026-07-16,pump_and_fade,106.97,206.0,7.77,-9.13,25.0,25.0,True,-62.5,144.0,75,184.0,11,7,ok,3.0405486084440336
TRUG,2026-03-27,2026-08-17,pump_and_fade,109.2,4.79,4.38,-6.68,26.17,26.17,True,-85.99,22.78,97,0.8584,9,5,ok,1.527257280522365
EJH,2026-03-30,2026-06-09,temporary_spike,99.35,2.11,32.7,11.85,18.64,8.47,False,-55.36,40.0,49,1.438,16,5,ok,1.9435435435435435
SVRN,2026-03-30,2026-04-08,sustained_breakout,77.52,7.32,35.79,0.41,40.14,40.14,True,-41.73,55.78,6,,0,0,ok,0.03301508541300478
AKTX,2026-03-31,2026-05-22,pump_and_fade,754.81,4.99,9.22,3.21,6.8,6.8,False,-54.25,70.48,37,3.398,7,2,ok,1.8175862563729757
PAVS,2026-03-31,2026-06-08,temporary_spike,2898.88,202.0,12.38,5.45,6.57,-2.35,False,-62.11,3.49,47,102.4,13,3,ok,0.7606892406331397
AUUD,2026-04-01,2026-04-23,temporary_spike,160.98,4.41,25.17,23.58,1.28,-3.76,False,-40.04,16.92,15,3.696,4,3,ok,0.558190356023258
UCAR,2026-04-01,2026-04-09,pump_and_fade,414.81,0.53,66.04,13.77,296.35,357.71,True,-78.95,373.16,5,,0,0,ok,1.6108698794763854
CNSY,2026-04-02,2026-04-10,pump_and_fade,173.97,3.75,1.6,-5.07,15.17,50.28,False,-29.27,35.17,5,,0,0,unavailable,
NCT,2026-04-02,2026-04-27,true_explosion,83.24,2.66,9.44,3.76,5.47,-13.41,False,-53.28,94.85,16,1.64,6,3,ok,1.3195986761706364
AIIO,2026-04-06,2026-05-08,pump_and_fade,1461.97,1.08,9.26,-12.04,24.21,4.74,True,-54.24,9.07,24,0.5974,10,7,ok,0.8788526745384526
GNLN,2026-04-06,2026-04-15,pump_and_fade,197.89,2.47,21.46,15.79,28.67,28.67,True,-40.22,63.64,7,,0,0,ok,0.13126202714325383
HKIT,2026-04-06,2026-06-01,pump_and_fade,502.74,138.0,12.5,1.63,10.7,-8.02,False,-76.49,0.0,39,47.850002,10,2,ok,1.6676260405560372
LNKS,2026-04-06,2026-05-14,temporary_spike,81.48,2.8,2.5,-16.79,32.19,32.19,True,-56.82,1.5,28,1.51,9,4,ok,0.46794279135081895
SKK,2026-04-06,2026-05-04,pump_and_fade,955.88,2.45,7.96,4.49,4.69,4.69,False,-39.93,8.7,20,1.688,10,6,ok,0.7399568152622517
WNW,2026-04-06,2026-04-16,pump_and_fade,110.44,4.83,12.42,-15.11,32.44,-0.98,True,-42.5,1.22,8,,0,0,ok,0.3634836423543607
MOBX,2026-04-07,2026-05-14,pump_and_fade,144.25,3.7,4.59,-9.46,15.52,-1.19,False,-56.2,2.65,27,2.132,4,2,ok,2.048604817774103
JTAI,2026-04-08,2026-07-15,pump_and_fade,985.12,0.981703,0.53,-44.86,82.31,39.23,True,-66.28,38.75,67,0.59196,7,3,ok,2.143537012747237
NXTS,2026-04-08,2026-06-22,pump_and_fade,395.83,4.7,11.49,-21.06,41.24,30.73,True,-49.93,50.3,51,4.38,17,4,ok,1.2499140563179574
RDGT,2026-04-08,2026-05-29,temporary_spike,95.35,3.04,5.59,-1.64,7.36,1.67,False,-62.31,28.1,36,1.32,15,3,ok,0.664912079789283
RUBI,2026-04-09,2026-05-19,temporary_spike,103.47,102.0,3.43,-4.17,7.93,4.6,False,-60.9,4.85,28,60.775,0,1,ok,0.6942118888992477
AKAN,2026-04-13,2026-04-22,pump_and_fade,2327.69,2.79,21.51,13.26,12.97,12.97,False,-22.97,18.18,7,,0,0,ok,1.167692232979705
HCAI,2026-04-13,2026-04-22,pump_and_fade,477.56,6.773,29.19,16.05,11.32,-1.91,False,-51.66,60.52,7,,0,0,ok,0.4283493248466854
JEM,2026-04-13,2026-05-19,pump_and_fade,75.86,24.24,9.41,-3.47,13.33,-1.03,False,-51.58,43.93,26,14.46,12,5,ok,0.9132800718316039
PN,2026-04-13,2026-05-04,pump_and_fade,437.1,3.49,0.29,-22.64,36.3,36.3,True,-40.76,31.42,15,2.218,7,2,ok,2.8016920795984714
BRNX,2026-04-15,2026-05-06,temporary_spike,89.22,17.76,20.61,11.49,9.09,31.82,False,-48.28,19.56,15,15.612,3,1,unavailable,
NMTC,2026-04-16,2026-08-27,temporary_spike,74.5,4.35,8.85,5.06,18.16,18.16,False,-73.65,40.55,92,1.626,8,11,ok,0.37016854361631507
PMAX,2026-04-17,2026-05-06,pump_and_fade,141.81,2.2,33.64,15.0,16.21,9.88,False,-35.37,11.58,13,2.02,6,3,ok,0.5799125810489683
EHGO,2026-04-20,2026-06-17,pump_and_fade,423.26,2.8,0.0,-10.71,12.0,-4.4,False,-57.86,11.86,41,1.466,10,1,ok,0.13416854907686188
HUBC,2026-04-20,2026-05-15,temporary_spike,329.25,140.0,0.0,-20.71,26.13,-8.92,True,-98.13,14.5,19,4.036,0,1,ok,2.21971003173335
LXEH,2026-04-20,2026-06-08,temporary_spike,88.46,1.65,2.42,2.36,0.65,0.65,False,-51.06,56.25,34,1.046,7,4,ok,0.4541769316909295
TDIC,2026-04-20,2026-04-27,pump_and_fade,137.31,16.424999,1.98,1.98,228.36,228.36,True,-72.73,86.67,5,,0,0,ok,0.8400711363794096
ZSPC,2026-04-21,2026-05-14,pump_and_fade,131.2,1.39,1.44,-8.63,11.02,-2.36,False,-93.55,64.84,17,0.1192,5,1,ok,0.9966315247555158
KUST,2026-04-22,2026-06-25,temporary_spike,83.33,3.91,9.72,-3.07,15.83,15.83,False,-69.25,5.19,44,1.516,7,2,ok,1.1343392958739316
IPST,2026-04-23,2026-05-14,pump_and_fade,114.46,5.64,6.38,-2.48,14.36,14.36,False,-39.29,36.47,15,4.792,6,3,ok,0.629242853883511
CUE,2026-04-24,2026-05-01,pump_and_fade,232.56,11.06,65.1,59.99,75.02,114.75,True,-65.26,36.99,5,,0,0,ok,0.022335764342919614
MSS,2026-04-24,2026-06-09,temporary_spike,97.94,5.75,8.7,1.74,17.09,17.09,False,-56.17,7.42,31,4.65,11,3,ok,0.6151577554426948
TDTH,2026-04-24,2026-05-27,pump_and_fade,179.08,1.99,0.5,-1.51,12.24,29.54,False,-49.39,59.53,22,1.432,5,2,ok,0.8718038013488658
AIOS,2026-04-27,2026-05-04,pump_and_fade,291.91,7.035,17.7,17.7,309.06,309.06,True,-80.69,236.39,5,,0,0,ok,2.977295909642348
