ticker,definition,signal_date,paper_signal,target,features_pre_signal_only,status
KXIN,D_rapid_expansion,2026-05-13,True,+70%,True,PAPER_SIGNAL_RESEARCH
PED,A_10_from_low,2026-03-13,True,+70%,True,PAPER_SIGNAL_RESEARCH
PED,B_20_from_low,2026-03-13,True,+70%,True,PAPER_SIGNAL_RESEARCH
CLIR,B_20_from_low,2026-03-31,True,+70%,True,PAPER_SIGNAL_RESEARCH
MASK,A_10_from_low,2026-03-16,True,+70%,True,PAPER_SIGNAL_RESEARCH
MASK,E_base_breakout,2026-05-05,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZJYL,C_20_in_1_3,2026-06-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZJYL,D_rapid_expansion,2026-06-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
COOK,D_rapid_expansion,2026-05-19,True,+70%,True,PAPER_SIGNAL_RESEARCH
CIIT,D_rapid_expansion,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
CIIT,E_base_breakout,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
AZI,B_20_from_low,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
AZI,C_20_in_1_3,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
AZI,D_rapid_expansion,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
ONCO,B_20_from_low,2026-03-26,True,+70%,True,PAPER_SIGNAL_RESEARCH
RENX,E_base_breakout,2026-06-11,True,+70%,True,PAPER_SIGNAL_RESEARCH
ADV,A_10_from_low,2026-03-27,True,+70%,True,PAPER_SIGNAL_RESEARCH
ADV,B_20_from_low,2026-03-27,True,+70%,True,PAPER_SIGNAL_RESEARCH
ADV,D_rapid_expansion,2026-05-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
TRUG,E_base_breakout,2026-07-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
TRUG,D_rapid_expansion,2026-08-17,True,+70%,True,PAPER_SIGNAL_RESEARCH
EJH,C_20_in_1_3,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
EJH,D_rapid_expansion,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
FBLG,E_base_breakout,2026-08-05,True,+70%,True,PAPER_SIGNAL_RESEARCH
AGL,C_20_in_1_3,2026-04-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
AGL,D_rapid_expansion,2026-04-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
AKTX,E_base_breakout,2026-07-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
AUUD,C_20_in_1_3,2026-04-15,True,+70%,True,PAPER_SIGNAL_RESEARCH
UCAR,C_20_in_1_3,2026-04-08,True,+70%,True,PAPER_SIGNAL_RESEARCH
UCAR,D_rapid_expansion,2026-04-08,True,+70%,True,PAPER_SIGNAL_RESEARCH
NCT,A_10_from_low,2026-04-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
AIIO,C_20_in_1_3,2026-05-08,True,+70%,True,PAPER_SIGNAL_RESEARCH
AIIO,D_rapid_expansion,2026-05-08,True,+70%,True,PAPER_SIGNAL_RESEARCH
AIIO,E_base_breakout,2026-05-08,True,+70%,True,PAPER_SIGNAL_RESEARCH
BDRX,A_10_from_low,2026-04-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
BDRX,B_20_from_low,2026-04-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
GNLN,A_10_from_low,2026-04-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
HKIT,C_20_in_1_3,2026-05-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
HKIT,D_rapid_expansion,2026-05-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
HKIT,E_base_breakout,2026-05-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
XRTX,A_10_from_low,2026-04-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
CHR,C_20_in_1_3,2026-05-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
CHR,D_rapid_expansion,2026-05-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
CHR,E_base_breakout,2026-05-27,True,+70%,True,PAPER_SIGNAL_RESEARCH
JTAI,D_rapid_expansion,2026-05-27,True,+70%,True,PAPER_SIGNAL_RESEARCH
RDGT,C_20_in_1_3,2026-05-20,True,+70%,True,PAPER_SIGNAL_RESEARCH
AKAN,E_base_breakout,2026-08-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
PN,C_20_in_1_3,2026-05-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
PN,D_rapid_expansion,2026-05-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
PN,E_base_breakout,2026-05-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
BRNX,B_20_from_low,2026-04-16,True,+70%,True,PAPER_SIGNAL_RESEARCH
NMTC,C_20_in_1_3,2026-08-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
EHGO,C_20_in_1_3,2026-05-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
EHGO,D_rapid_expansion,2026-05-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
EHGO,E_base_breakout,2026-05-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
HUBC,A_10_from_low,2026-04-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZSPC,E_base_breakout,2026-08-12,True,+70%,True,PAPER_SIGNAL_RESEARCH
KUST,A_10_from_low,2026-04-23,True,+70%,True,PAPER_SIGNAL_RESEARCH
IPST,D_rapid_expansion,2026-05-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
IPST,E_base_breakout,2026-05-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
MSS,C_20_in_1_3,2026-05-05,True,+70%,True,PAPER_SIGNAL_RESEARCH
MSS,D_rapid_expansion,2026-05-05,True,+70%,True,PAPER_SIGNAL_RESEARCH
SOWG,D_rapid_expansion,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
TDTH,C_20_in_1_3,2026-05-26,True,+70%,True,PAPER_SIGNAL_RESEARCH
TDTH,E_base_breakout,2026-05-26,True,+70%,True,PAPER_SIGNAL_RESEARCH
DGNX,C_20_in_1_3,2026-05-28,True,+70%,True,PAPER_SIGNAL_RESEARCH
DGNX,D_rapid_expansion,2026-05-28,True,+70%,True,PAPER_SIGNAL_RESEARCH
UK,B_20_from_low,2026-05-01,True,+70%,True,PAPER_SIGNAL_RESEARCH
