ticker,definition,signal_date,hypothesis,qualifies,success_70_10,max_return_20
YYGH,E_base_breakout,2026-08-26,H1_RSI_Recovery_Volume_Expansion,False,False,-2.8301861329449007
ONCO,E_base_breakout,2026-09-03,H1_RSI_Recovery_Volume_Expansion,False,False,42.083886396938055
ONCO,D_rapid_expansion,2026-09-04,H1_RSI_Recovery_Volume_Expansion,False,False,-6.862744525137964
TRUG,D_rapid_expansion,2026-08-17,H1_RSI_Recovery_Volume_Expansion,True,False,15.584416589722494
FBLG,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,126.29582078759816
FBLG,E_base_breakout,2026-08-05,H1_RSI_Recovery_Volume_Expansion,True,False,153.45623518510365
SVRN,E_base_breakout,2026-09-02,H1_RSI_Recovery_Volume_Expansion,False,False,6.631685866946402
GNLN,D_rapid_expansion,2026-08-18,H1_RSI_Recovery_Volume_Expansion,False,False,27.868857584919816
GNLN,E_base_breakout,2026-08-18,H1_RSI_Recovery_Volume_Expansion,False,False,27.868857584919816
HTCR,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,9.773577932193046
HTCR,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,9.773577932193046
WNW,E_base_breakout,2026-08-11,H1_RSI_Recovery_Volume_Expansion,False,False,26.804121937581037
XRTX,D_rapid_expansion,2026-08-27,H1_RSI_Recovery_Volume_Expansion,False,False,1.6393426604503158
XRTX,E_base_breakout,2026-08-27,H1_RSI_Recovery_Volume_Expansion,False,False,1.6393426604503158
WORX,C_20_in_1_3,2026-08-07,H1_RSI_Recovery_Volume_Expansion,False,False,0.0
AKAN,E_base_breakout,2026-08-14,H1_RSI_Recovery_Volume_Expansion,True,False,-15.34883411463166
CENN,E_base_breakout,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,False,25.142860412597656
NXPL,E_base_breakout,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,22.5647349096908
BNRG,C_20_in_1_3,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,39.15655291489068
BNRG,D_rapid_expansion,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,12.716764519346778
NMTC,C_20_in_1_3,2026-08-14,H1_RSI_Recovery_Volume_Expansion,True,True,79.89690240200567
NMTC,E_base_breakout,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,60.0917386543109
KITT,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,30.256405114970942
KITT,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,30.256405114970942
ZSPC,E_base_breakout,2026-08-12,H1_RSI_Recovery_Volume_Expansion,True,False,0.0
TOUR,E_base_breakout,2026-09-03,H1_RSI_Recovery_Volume_Expansion,False,False,1.153854265721188
MSS,E_base_breakout,2026-08-18,H1_RSI_Recovery_Volume_Expansion,False,True,98.72610072121617
AIOS,E_base_breakout,2026-08-17,H1_RSI_Recovery_Volume_Expansion,False,False,28.330988382427936
CISS,C_20_in_1_3,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,6.617649443524898
CISS,D_rapid_expansion,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,6.617649443524898
JAGX,D_rapid_expansion,2026-08-18,H1_RSI_Recovery_Volume_Expansion,False,False,6.448307459914804
ADTX,E_base_breakout,2026-08-21,H1_RSI_Recovery_Volume_Expansion,False,True,100.0
EZRA,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,22.264146903266656
EZRA,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,22.264146903266656
EZRA,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,22.264146903266656
EZRA,E_base_breakout,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,22.264146903266656
YMT,D_rapid_expansion,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,-9.907830478067037
EZGO,D_rapid_expansion,2026-08-20,H1_RSI_Recovery_Volume_Expansion,False,False,-1.739128812274282
NCI,C_20_in_1_3,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,-0.47138482626494227
NCI,D_rapid_expansion,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,-0.47138482626494227
CMND,E_base_breakout,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,24.864860162672354
HAO,D_rapid_expansion,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,False,37.4371799994369
HAO,E_base_breakout,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,False,37.4371799994369
ONCO,E_base_breakout,2026-09-03,H1_RSI_Recovery_Volume_Expansion,False,False,42.083886396938055
ONCO,D_rapid_expansion,2026-09-04,H1_RSI_Recovery_Volume_Expansion,False,False,-6.862744525137964
PRTS,C_20_in_1_3,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,38.81481311939381
PRTS,D_rapid_expansion,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,38.81481311939381
PRTS,E_base_breakout,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,38.81481311939381
TJGC,E_base_breakout,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,True,77.0491862226578
VSA,E_base_breakout,2026-08-07,H1_RSI_Recovery_Volume_Expansion,False,False,5.2631592156154205
SLXN,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,2.051280044866699
CDTG,C_20_in_1_3,2026-08-05,H1_RSI_Recovery_Volume_Expansion,True,True,457.8947137267303
CDTG,D_rapid_expansion,2026-08-05,H1_RSI_Recovery_Volume_Expansion,True,True,457.8947137267303
DAIC,D_rapid_expansion,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,True,286.70520135620205
ELOX,E_base_breakout,2026-08-21,H1_RSI_Recovery_Volume_Expansion,False,False,9.628219741840628
JDZG,C_20_in_1_3,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,35.58823541786431
JDZG,D_rapid_expansion,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,False,19.74026617422391
SCYX,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,25.82644546677628
SCYX,D_rapid_expansion,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,25.82644546677628
SCYX,E_base_breakout,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,25.82644546677628
ZOOZ,C_20_in_1_3,2026-09-04,H1_RSI_Recovery_Volume_Expansion,True,False,-0.32299249702254507
ZOOZ,D_rapid_expansion,2026-09-04,H1_RSI_Recovery_Volume_Expansion,True,False,-0.32299249702254507
PRHI,E_base_breakout,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,38.74345170683986
PRHI,C_20_in_1_3,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,False,40.43886955215426
PRHI,D_rapid_expansion,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,False,40.43886955215426
WYHG,E_base_breakout,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,29.19633680400935
WXM,C_20_in_1_3,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,True,190.24944747438485
WXM,D_rapid_expansion,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,True,190.24944747438485
WXM,E_base_breakout,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,True,190.24944747438485
OPAD,C_20_in_1_3,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,12.58277413740636
AIFA,C_20_in_1_3,2026-08-07,H1_RSI_Recovery_Volume_Expansion,False,True,71.64179423148025
AIFA,D_rapid_expansion,2026-08-07,H1_RSI_Recovery_Volume_Expansion,False,True,71.64179423148025
AIFA,E_base_breakout,2026-08-10,H1_RSI_Recovery_Volume_Expansion,True,False,63.50711939381566
AMOD,C_20_in_1_3,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,3.761063650692731
AMOD,D_rapid_expansion,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,3.761063650692731
AMOD,E_base_breakout,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,3.761063650692731
AVX,C_20_in_1_3,2026-08-24,H1_RSI_Recovery_Volume_Expansion,True,False,8.40108232987542
AVX,D_rapid_expansion,2026-08-24,H1_RSI_Recovery_Volume_Expansion,True,False,8.40108232987542
AVX,E_base_breakout,2026-08-24,H1_RSI_Recovery_Volume_Expansion,True,False,8.40108232987542
AIFU,B_20_from_low,2026-08-04,H1_RSI_Recovery_Volume_Expansion,True,False,3.1233168187273064
AIFU,C_20_in_1_3,2026-08-21,H1_RSI_Recovery_Volume_Expansion,False,False,68.1621654613598
AIFU,D_rapid_expansion,2026-08-21,H1_RSI_Recovery_Volume_Expansion,False,False,68.1621654613598
UPLD,E_base_breakout,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,22.095235188802075
UPLD,C_20_in_1_3,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,0.5573757446379002
UPLD,D_rapid_expansion,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,0.5573757446379002
VMAR,C_20_in_1_3,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,94.88721582388031
VMAR,D_rapid_expansion,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,94.88721582388031
VMAR,E_base_breakout,2026-08-26,H1_RSI_Recovery_Volume_Expansion,False,False,1.0752626424140876
WOK,E_base_breakout,2026-08-11,H1_RSI_Recovery_Volume_Expansion,False,False,42.60089863489862
BMGL,E_base_breakout,2026-08-26,H1_RSI_Recovery_Volume_Expansion,False,False,-5.6444825842758455
BOXL,D_rapid_expansion,2026-08-12,H1_RSI_Recovery_Volume_Expansion,True,False,20.711564652394188
BOXL,E_base_breakout,2026-08-12,H1_RSI_Recovery_Volume_Expansion,True,False,20.711564652394188
LABT,E_base_breakout,2026-09-01,H1_RSI_Recovery_Volume_Expansion,True,False,-4.347821955569664
LHSW,E_base_breakout,2026-08-25,H1_RSI_Recovery_Volume_Expansion,False,False,44.82758795147595
POM,C_20_in_1_3,2026-08-04,H1_RSI_Recovery_Volume_Expansion,True,False,64.81995187048786
POM,D_rapid_expansion,2026-08-10,H1_RSI_Recovery_Volume_Expansion,False,False,9.174313832990855
FCUV,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,54.31033646450909
FCUV,D_rapid_expansion,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,54.31033646450909
YYGH,D_rapid_expansion,2026-08-26,H1_RSI_Recovery_Volume_Expansion,False,False,-2.8301861329449007
YYGH,E_base_breakout,2026-08-26,H1_RSI_Recovery_Volume_Expansion,False,False,-2.8301861329449007
DD,E_base_breakout,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,4.540688326967057
DD,A_10_from_low,2026-08-05,H1_RSI_Recovery_Volume_Expansion,True,False,1.3910586412978265
NAMI,C_20_in_1_3,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,-19.95464640523158
NAMI,D_rapid_expansion,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,-19.95464640523158
NUWE,B_20_from_low,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,-45.39325458626284
NUWE,C_20_in_1_3,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,-45.39325458626284
NUWE,D_rapid_expansion,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,-45.39325458626284
VRAX,E_base_breakout,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,14.465409700951891
GDC,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,97.25273685198536
MNDR,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,14.594586931762343
MNDR,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,14.594586931762343
HCWB,B_20_from_low,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,34.60316326192332
HCWB,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,True,False,32.4999908730389
HCWB,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,10.479046468424702
JBDI,C_20_in_1_3,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,0.6849308357518069
TRNR,E_base_breakout,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,6.666666666666665
ABTC,E_base_breakout,2026-08-10,H1_RSI_Recovery_Volume_Expansion,False,False,33.94625229271326
CRIS,B_20_from_low,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,11.229942160545336
HKIT,C_20_in_1_3,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,3.488368708227374
HKIT,D_rapid_expansion,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,3.488368708227374
CGTL,C_20_in_1_3,2026-08-17,H1_RSI_Recovery_Volume_Expansion,True,False,10.7933236426218
PFSA,E_base_breakout,2026-08-17,H1_RSI_Recovery_Volume_Expansion,False,True,525.1655272224006
PFSA,C_20_in_1_3,2026-08-18,H1_RSI_Recovery_Volume_Expansion,True,False,-36.026200085317065
PFSA,D_rapid_expansion,2026-08-18,H1_RSI_Recovery_Volume_Expansion,True,False,-36.026200085317065
ENLV,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,4.147461336638236
GIPR,B_20_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,True,72.55434489919892
GIPR,C_20_in_1_3,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,-16.733073468698933
GIPR,D_rapid_expansion,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,-16.733073468698933
FTFT,B_20_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,-4.901956201103741
PSQH,C_20_in_1_3,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,67.22891319851902
PSQH,D_rapid_expansion,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,67.22891319851902
PWCM,C_20_in_1_3,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,11.515155149447631
PWCM,D_rapid_expansion,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,11.515155149447631
PWCM,E_base_breakout,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,11.515155149447631
