hypothesis,signals,success_70,success_rate,base_rate,lift,odds_ratio,ci95,p_value,fdr_q,oos_signals,oos_success,oos_rate,oos_lift,oos_p_value,excursion_expectancy_20,excursion_profit_factor_20,walk_forward_stable
RSI absolute 22-27,135,25,0.18518518518518517,0.16725352112676056,1.1072124756335282,1.1515151515151516,"[0.128697, 0.259095]",0.5402664718200314,0.9142971061569762,18,5,0.2777777777777778,1.6898148148148149,0.18648573396876345,130.73932018053517,2471.9753957034222,False
RSI recovery,558,91,0.16308243727598568,0.16725352112676056,0.9750613091869459,0.9428114117621612,"[0.134751, 0.196022]",0.7506115089341789,1.0,144,21,0.14583333333333334,0.8871527777777779,0.3388726532601462,46.827153327457786,39.90572662575818,False
RSI recovery >20,17,0,0.0,0.16725352112676056,0.0,0.0,"[0, 0.184324]",0.09328148556480004,0.29317038320365724,0,0,,,1.0,,,False
RSI recovery >25,55,9,0.16363636363636364,0.16725352112676056,0.9783732057416268,0.9728561133797742,"[0.088553, 0.28264]",1.0,1.0,15,4,0.26666666666666666,1.6222222222222222,0.27932817601935134,97.75296796355752,21.350391048471558,False
RSI recovery >30,119,19,0.15966386554621848,0.16725352112676056,0.9546218487394957,0.94,"[0.104663, 0.235952]",0.8970924110408356,1.0,34,7,0.20588235294117646,1.2524509803921569,0.4574956701809224,59.4278869401924,18.59065728516919,False
RSI recovery >35,170,34,0.2,0.16725352112676056,1.1957894736842105,1.2980769230769231,"[0.146799, 0.26646]",0.22078644596432806,0.5397002012461353,65,9,0.13846153846153847,0.8423076923076924,0.5555086022964004,49.70493361705204,47.78656111480239,False
RSI recovery >40,154,35,0.22727272727272727,0.16725352112676056,1.3588516746411483,1.569259962049336,"[0.168196, 0.299625]",0.03654220337656362,0.16078569485687993,45,7,0.15555555555555556,0.9462962962962964,1.0,43.349698576041,59.013389787680985,False
RSI rising 2 snapshots,25,3,0.12,0.16725352112676056,0.7174736842105263,0.6737967914438503,"[0.041667, 0.299562]",0.7857242510216859,1.0,3,1,0.3333333333333333,2.0277777777777777,0.4181102457969652,120.92267213464716,,False
RSI rising 3 snapshots,20,3,0.15,0.16725352112676056,0.8968421052631579,0.8766907832651777,"[0.052368, 0.360423]",1.0,1.0,3,1,0.3333333333333333,2.0277777777777777,0.4181102457969652,120.92267213464716,,False
RSI <30 + rising,118,18,0.15254237288135594,0.16725352112676056,0.912042818911686,0.8853488372093024,"[0.098722, 0.228274]",0.7942617644440957,1.0,27,6,0.2222222222222222,1.3518518518518519,0.4066910173066052,115.7011444487679,135.4204839105648,False
RSI <35 + rising,202,29,0.14356435643564355,0.16725352112676056,0.858363731109953,0.8048325135532977,"[0.101854, 0.198579]",0.35053468871512383,0.7010693774302477,42,10,0.23809523809523808,1.4484126984126984,0.1668553335075762,85.31506054631123,37.92854163310509,False
Volume >=1.0,519,88,0.16955684007707128,0.16725352112676056,1.0137714227765946,1.030890314362404,"[0.139728, 0.204241]",0.8733592135734012,1.0,109,18,0.1651376146788991,1.0045871559633028,1.0,55.41118437182688,20.69378620528758,False
Volume >=1.25,435,82,0.18850574712643678,0.16725352112676056,1.1270659407138537,1.2754695205120135,"[0.154537, 0.227928]",0.1411537563298676,0.38817282990713586,89,17,0.19101123595505617,1.1619850187265919,0.45830829142016527,60.39081285074365,18.57936845631039,False
Volume >=1.5,371,78,0.21024258760107817,0.16725352112676056,1.257029365867499,1.5521087274500245,"[0.171854, 0.25457]",0.008483117219087665,0.062209526273309536,74,17,0.22972972972972974,1.3975225225225227,0.08202718121720931,65.76210951807127,17.66469691090195,False
Volume >=2,302,70,0.23178807947019867,0.16725352112676056,1.3858487277797142,1.7952586206896552,"[0.187745, 0.28257]",0.000617118876169861,0.009058135141354406,63,17,0.2698412698412698,1.6415343915343916,0.014399059366548736,70.65762833495523,16.310967243745683,False
Volume increasing,656,121,0.18445121951219512,0.16725352112676056,1.1028241335044928,1.3471759447379115,"[0.156637, 0.215939]",0.07663550124355903,0.2809968378930498,131,29,0.22137404580152673,1.3466921119592876,0.00529657105028876,70.52963218226374,30.193789534916288,False
Volume acceleration,728,135,0.18543956043956045,0.16725352112676056,1.1087333718912666,1.4611375134140734,"[0.158884, 0.215298]",0.031094406196082905,0.16078569485687993,155,27,0.17419354838709677,1.0596774193548388,0.6890078822154543,61.357743063592764,29.6389658922427,False
Price confirmation,569,74,0.13005272407732865,0.16725352112676056,0.7775783923781334,0.5812260536398467,"[0.104877, 0.16019]",0.0008234668310322188,0.009058135141354406,152,21,0.13815789473684212,0.8404605263157896,0.11884448499083516,52.34643106096132,55.72738816563911,False
MACD improving,629,106,0.1685214626391097,0.16725352112676056,1.0075809555685717,1.0206227806610215,"[0.141299, 0.199768]",0.9363322539234208,1.0,152,28,0.18421052631578946,1.1206140350877194,0.32237506724438025,61.54913422222537,57.19246210078959,False
MA20 reclaim,263,38,0.1444866920152091,0.16725352112676056,0.8638783269961976,0.8011111111111111,"[0.107111, 0.192099]",0.299820869441738,0.6596059127718237,71,10,0.14084507042253522,0.8568075117370892,0.5648012470865591,38.32283751998287,87.90534019801261,False
MA50 reclaim,141,20,0.14184397163120568,0.16725352112676056,0.8480776409107876,0.8021390374331551,"[0.093735, 0.208951]",0.4692387964468956,0.8602711268193085,31,3,0.0967741935483871,0.5887096774193549,0.4314491936994708,28.351463136224098,554.1976627842839,False
Liquidity Sweep / Failed Breakdown,0,0,,0.16725352112676056,,,"[None, None]",1.0,1.0,0,0,,,1.0,,,False
RSI + Volume + Price,131,27,0.20610687022900764,0.16725352112676056,1.2323021293692247,1.3410806984426615,"[0.145692, 0.283268]",0.21350028802871918,,37,8,0.21621621621621623,1.3153153153153154,0.3387270918564955,64.95819097818398,21.384159784945805,False
Volume -> RSI -> Price,36,7,0.19444444444444445,0.16725352112676056,1.1625730994152046,1.2095345769738082,"[0.09753, 0.350284]",0.6500313082301516,,11,6,0.5454545454545454,3.318181818181818,0.003302491318618838,83.43841911865303,528.7484932843671,False
RSI -> Volume -> Price,303,39,0.12871287128712872,0.16725352112676056,0.769567483064096,0.6672185430463576,"[0.095603, 0.171119]",0.038578627097577305,,82,4,0.04878048780487805,0.2967479674796748,0.0002578387531336194,36.277011081727046,25.984525255455935,False
