feature,signals,successes,failures,success_rate,base_rate,lift,odds_ratio,p_value,ci95,tickers,q_value,fdr_05
RSI absolute 22-27,135,25,110,0.18518518518518517,0.16725352112676056,1.1072124756335282,1.1515151515151516,0.5402664718200314,"[0.128697, 0.259095]",72,0.9142971061569762,False
RSI recovery,558,91,467,0.16308243727598568,0.16725352112676056,0.9750613091869459,0.9428114117621612,0.7506115089341789,"[0.134751, 0.196022]",208,1.0,False
RSI recovery >20,17,0,17,0.0,0.16725352112676056,0.0,0.0,0.09328148556480004,"[0, 0.184324]",12,0.29317038320365724,False
RSI recovery >25,55,9,46,0.16363636363636364,0.16725352112676056,0.9783732057416268,0.9728561133797742,1.0,"[0.088553, 0.28264]",34,1.0,False
RSI recovery >30,119,19,100,0.15966386554621848,0.16725352112676056,0.9546218487394957,0.94,0.8970924110408356,"[0.104663, 0.235952]",63,1.0,False
RSI recovery >35,170,34,136,0.2,0.16725352112676056,1.1957894736842105,1.2980769230769231,0.22078644596432806,"[0.146799, 0.26646]",95,0.5397002012461353,False
RSI recovery >40,154,35,119,0.22727272727272727,0.16725352112676056,1.3588516746411483,1.569259962049336,0.03654220337656362,"[0.168196, 0.299625]",87,0.16078569485687993,False
RSI rising 2 snapshots,25,3,22,0.12,0.16725352112676056,0.7174736842105263,0.6737967914438503,0.7857242510216859,"[0.041667, 0.299562]",10,1.0,False
RSI rising 3 snapshots,20,3,17,0.15,0.16725352112676056,0.8968421052631579,0.8766907832651777,1.0,"[0.052368, 0.360423]",7,1.0,False
RSI <30 + rising,118,18,100,0.15254237288135594,0.16725352112676056,0.912042818911686,0.8853488372093024,0.7942617644440957,"[0.098722, 0.228274]",60,1.0,False
RSI <35 + rising,202,29,173,0.14356435643564355,0.16725352112676056,0.858363731109953,0.8048325135532977,0.35053468871512383,"[0.101854, 0.198579]",99,0.7010693774302477,False
Volume >=1.0,519,88,431,0.16955684007707128,0.16725352112676056,1.0137714227765946,1.030890314362404,0.8733592135734012,"[0.139728, 0.204241]",204,1.0,False
Volume >=1.25,435,82,353,0.18850574712643678,0.16725352112676056,1.1270659407138537,1.2754695205120135,0.1411537563298676,"[0.154537, 0.227928]",188,0.38817282990713586,False
Volume >=1.5,371,78,293,0.21024258760107817,0.16725352112676056,1.257029365867499,1.5521087274500245,0.008483117219087665,"[0.171854, 0.25457]",167,0.062209526273309536,False
Volume >=2,302,70,232,0.23178807947019867,0.16725352112676056,1.3858487277797142,1.7952586206896552,0.000617118876169861,"[0.187745, 0.28257]",140,0.009058135141354406,True
Volume increasing,656,121,535,0.18445121951219512,0.16725352112676056,1.1028241335044928,1.3471759447379115,0.07663550124355903,"[0.156637, 0.215939]",223,0.2809968378930498,False
Volume acceleration,728,135,593,0.18543956043956045,0.16725352112676056,1.1087333718912666,1.4611375134140734,0.031094406196082905,"[0.158884, 0.215298]",237,0.16078569485687993,False
Price confirmation,569,74,495,0.13005272407732865,0.16725352112676056,0.7775783923781334,0.5812260536398467,0.0008234668310322188,"[0.104877, 0.16019]",220,0.009058135141354406,True
MACD improving,629,106,523,0.1685214626391097,0.16725352112676056,1.0075809555685717,1.0206227806610215,0.9363322539234208,"[0.141299, 0.199768]",223,1.0,False
MA20 reclaim,263,38,225,0.1444866920152091,0.16725352112676056,0.8638783269961976,0.8011111111111111,0.299820869441738,"[0.107111, 0.192099]",121,0.6596059127718237,False
MA50 reclaim,141,20,121,0.14184397163120568,0.16725352112676056,0.8480776409107876,0.8021390374331551,0.4692387964468956,"[0.093735, 0.208951]",64,0.8602711268193085,False
Liquidity Sweep / Failed Breakdown,0,0,0,,0.16725352112676056,,,1.0,"[None, None]",0,1.0,False
