ticker,definition,signal_date,classification,success_70_10,recovery_20,recovery_25,recovery_30,recovery_35,recovery_40,rsi_change_3,rsi_change_5,rsi_change_10,volume_s1,volume_first,rsi_first
ELPW,A_10_from_low,2026-03-12,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,0.07442192906390233,-0.14126888366460832,-0.4755778840969498,1.0910667900621895,S-10,S-20
ELPW,B_20_from_low,2026-03-13,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,-0.1719572126999367,0.03888302458567239,-0.35394916692673917,4.308462430182316,S-10,S-20
ELPW,C_20_in_1_3,2026-04-08,gradual_rise,False,S-20,S-20,S-20,S-20,S-20,-0.09915239967673983,-0.16668333944948444,-0.2811323437774149,0.09625810253388332,S-20,S-20
ELPW,D_rapid_expansion,2026-04-08,gradual_rise,False,S-20,S-20,S-20,S-20,S-20,-0.09915239967673983,-0.16668333944948444,-0.2811323437774149,0.09625810253388332,S-20,S-20
ZNB,A_10_from_low,2026-03-12,no_significant_move,False,S-20,S-20,S-15,S-10,,-5.751607637226627,-7.9146497951298045,-8.78746434966476,3.218921923959973,S-1,S-15
ZNB,B_20_from_low,2026-03-30,no_significant_move,False,S-20,S-20,S-20,,,-0.08415462253282158,-0.5340452244467713,-0.8877265661407989,0.9416985223436836,S-10,S-20
ZNB,C_20_in_1_3,2026-07-28,no_significant_move,False,S-20,S-1,,,,8.59158312988967,5.010179606902497,7.67596773835804,0.6313357827730275,S-5,
KXIN,A_10_from_low,2026-03-19,temporary_spike,False,S-20,S-20,S-20,,,0.1843156551821039,-0.4207974523395137,-0.4888785514586971,0.8570968008272163,S-2,S-20
KXIN,B_20_from_low,2026-03-23,temporary_spike,False,S-20,S-20,S-20,,,0.25080182836970266,0.43511748355180657,-0.6462669404447752,0.5233348728339154,S-4,S-20
KXIN,C_20_in_1_3,2026-03-23,temporary_spike,False,S-20,S-20,S-20,,,0.25080182836970266,0.43511748355180657,-0.6462669404447752,0.5233348728339154,S-4,S-20
