sequence,signals,successes,failures,success_rate,base_rate,lift,odds_ratio,p_value,ci95,tickers,q_value,fdr_05
Volume Leads RSI,65,10,55,0.15384615384615385,0.16725352112676056,0.919838056680162,0.9,0.8652406804943871,"[0.08577, 0.260555]",38,1.0,False
RSI Leads Volume,607,108,499,0.17792421746293247,0.16725352112676056,1.0637995317783753,1.1798230607556577,0.3389638164939347,"[0.149553, 0.210347]",211,0.5649396941565579,False
Same Day,136,14,122,0.10294117647058823,0.16725352112676056,0.6154798761609906,0.53725782414307,0.03660436518344742,"[0.062315, 0.165383]",80,0.11561869093244365,False
Neither,30,1,29,0.03333333333333333,0.16725352112676056,0.19929824561403509,0.1673052362707535,0.04624747637297746,"[0.005908, 0.166708]",14,0.11561869093244365,False
RSI -> Volume -> Price,303,39,264,0.12871287128712872,0.16725352112676056,0.769567483064096,0.6672185430463576,0.038578627097577305,"[0.095603, 0.171119]",149,0.11561869093244365,False
Volume -> RSI -> Price,36,7,29,0.19444444444444445,0.16725352112676056,1.1625730994152046,1.2095345769738082,0.6500313082301516,"[0.09753, 0.350284]",24,0.9286161546145024,False
RSI + Volume same timing,136,14,122,0.10294117647058823,0.16725352112676056,0.6154798761609906,0.53725782414307,0.03660436518344742,"[0.062315, 0.165383]",80,0.11561869093244365,False
RSI + Volume + Price,131,27,104,0.20610687022900764,0.16725352112676056,1.2323021293692247,1.3410806984426615,0.21350028802871918,"[0.145692, 0.283268]",74,0.42700057605743835,False
Liquidity Sweep -> RSI -> Volume -> Price,0,0,0,,0.16725352112676056,,,1.0,"[None, None]",0,1.0,False
Liquidity Sweep + RSI Recovery + Volume,0,0,0,,0.16725352112676056,,,1.0,"[None, None]",0,1.0,False
