ticker,definition,classification,RSI recovery 20,RSI recovery 25,RSI recovery 30,RSI rising,Volume expansion,MACD improvement,MA20 reclaim
ELPW,A_10_from_low,Temporary Spike,S-20,S-20,S-20,S-1,S-10,S-5,
ELPW,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-2,S-10,S-5,
ELPW,C_20_in_1_3,Gradual Rise,S-20,S-20,S-20,S-15,S-20,S-20,
ELPW,D_rapid_expansion,Gradual Rise,S-20,S-20,S-20,S-15,S-20,S-20,
ZNB,A_10_from_low,No Significant Move,S-20,S-20,S-15,S-15,S-1,S-7,
ZNB,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-5,S-10,S-20,
ZNB,C_20_in_1_3,No Significant Move,S-20,S-1,S,S-20,S-5,S-20,
KXIN,A_10_from_low,Temporary Spike,S-20,S-20,S-20,S-15,S-2,S-15,
KXIN,B_20_from_low,Temporary Spike,S-20,S-20,S-20,S-20,,S-15,
KXIN,C_20_in_1_3,Temporary Spike,S-20,S-20,S-20,S-20,,S-15,
KXIN,D_rapid_expansion,No Significant Move,S-20,S-20,S-20,S-20,S-7,S-20,S-20
KXIN,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-15,S,S-7,S-3
PED,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-15,S-10,S-15,S-20
PED,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-15,S-10,S-15,S-20
PED,C_20_in_1_3,No Significant Move,S-20,S-20,S-20,S-15,S-7,S-10,S
PED,D_rapid_expansion,No Significant Move,S-20,S-20,S-20,S-15,S-7,S-10,S
PED,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-15,S-7,S-10,S
STFS,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-7,S-3
STFS,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-7,S-3
STFS,C_20_in_1_3,True Explosion,S-20,S-20,S-20,S-15,S-15,S-20,S-15
STFS,D_rapid_expansion,True Explosion,S-20,S-20,S-20,S-15,S-15,S-20,S-15
STFS,E_base_breakout,True Explosion,S-20,S-20,S-20,S-15,S-15,S-20,S-15
CLIR,A_10_from_low,Rapid Move,S-20,S-20,S-20,S-3,S-10,,
CLIR,B_20_from_low,True Explosion,S-20,S-20,S-20,S-15,S-15,S-1,S
CLIR,C_20_in_1_3,Temporary Spike,S-20,S-20,S-20,S-7,S-20,S-2,S-1
CLIR,D_rapid_expansion,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-3,S-3
CLIR,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-3,S-3
DXST,A_10_from_low,No Significant Move,S-20,S-20,S-7,S-20,,S-10,S-5
DXST,B_20_from_low,No Significant Move,S-20,S-20,S-10,S-20,S-10,S-15,S-10
DXST,C_20_in_1_3,No Significant Move,S-20,S-20,S-15,S-15,S-15,S-15,S-10
DXST,D_rapid_expansion,Temporary Spike,S-20,S-20,S-20,S-10,S-1,S-20,S
DXST,E_base_breakout,Temporary Spike,S-20,S-20,S-20,S-10,S-1,S-20,S
HBIO,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-2,S-2,S-20,S-15
HBIO,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-5,S-20,S-20
HBIO,C_20_in_1_3,Temporary Spike,S-20,S-20,S-20,S-20,S-20,S-15,S-7
HBIO,D_rapid_expansion,Temporary Spike,S-20,S-20,S-20,S-20,S-20,S-15,S-7
HBIO,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-20,S-5,S-20,S-10
